resident_id,readiness_probability,readiness_label
17,0.851,Near Ready
14,0.8464,Near Ready
42,0.8244,Near Ready
41,0.8118,Near Ready
32,0.8007,Near Ready
10,0.7856,Near Ready
8,0.7326,Near Ready
12,0.7092,Near Ready
38,0.6235,Near Ready
59,0.5892,Near Ready
36,0.5887,Progressing
50,0.502,Progressing
4,0.4767,Progressing
24,0.472,Progressing
1,0.2356,Progressing
7,0.1946,Progressing
40,0.1434,Progressing
16,0.1326,Progressing
49,0.1319,Progressing
48,0.116,Early Stage
55,0.116,Early Stage
6,0.0998,Early Stage
53,0.0925,Early Stage
9,0.0823,Early Stage
46,0.08,Early Stage
21,0.08,Early Stage
19,0.08,Early Stage
25,0.0654,Early Stage
57,0.052,Early Stage
3,0.048,Early Stage
